molecule_chembl_id,activity_label,canonical_smiles_processed,MW,LogP,H_Donors,H_Acceptors,pIC50
CHEMBL1683961,active,Cc1ncnc(Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)c1C#CCCCN1CCOCC1,494.9980000000004,5.364020000000005,1,6,6.823908740944319
CHEMBL1683962,active,Cc1ncnc(Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)c1C#Cc1ccc(CN2CCOCC2)cc1,543.0420000000003,6.132120000000006,1,6,6.356547323513812
CHEMBL1683963,active,C/C(=C\c1c(C)ncnc1Nc1ccc(OCc2cccc(F)c2)c(Cl)c1)C(=O)NCCN1CCOCC1,540.0390000000001,4.751820000000004,2,7,7.0915149811213505
CHEMBL1683964,active,Cc1ncnc(Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)c1/C=C/c1ccc(CN2CCOCC2)cc1,545.0580000000002,6.9027200000000075,1,6,6.721246399047171
CHEMBL1683965,active,Cc1ncnc(Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)c1/C=C(\F)C(=O)NCCN1CCOCC1,544.0020000000001,4.658920000000004,2,7,7.107905397309519
CHEMBL1683966,active,Cc1ncnc(Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)c1/C=C/C(=O)NCCN1CCOCC1,526.0120000000003,4.361720000000004,2,7,6.497572880015567
CHEMBL1683967,active,Cc1ncnc(Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)c1/C=C(\F)C(=O)NCCN1CCCC1,528.0030000000002,5.422520000000005,2,6,7.721246399047171
CHEMBL1683968,active,Cc1ncnc(Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)c1/C=C(\F)C(=O)NCCS(C)(=O)=O,536.9880000000002,4.371320000000003,2,7,7.1487416512809245
CHEMBL1683969,active,CCN1CCN(C(=O)/C(F)=C/c2c(C)ncnc2Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)CC1,528.0030000000002,5.374620000000005,1,6,6.991399828238082
CHEMBL1683970,active,Cc1ncnc(Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)c1C#CCCN1CCOCC1,480.97100000000034,4.973920000000005,1,6,7.130768280269024
CHEMBL1683971,intermediate,Cc1ncnc(Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)c1C#CCN1CCOCC1,466.9440000000003,4.583820000000004,1,6,5.269217724333611
CHEMBL1683972,active,Cc1ncnc(Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)c1C#C/C=N/OCCN1CCOCC1,523.9960000000003,4.586220000000004,1,8,7.154901959985743
CHEMBL1683973,active,Cc1ncnc(Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)c1C#CCCCN1CCCC1,478.99900000000036,6.127620000000006,1,5,7.022276394711152
CHEMBL1683974,active,CCN1CCN(CCCC#Cc2c(C)ncnc2Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)CC1,522.0680000000002,5.669320000000005,1,6,7.443697499232712
CHEMBL1683975,active,Cc1ncnc(Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)c1C#CCCNCc1ccccc1,501.0050000000002,6.431520000000005,2,5,6.0915149811213505
CHEMBL1766529,inactive,CC(=O)N1CCN(c2cnc3cc(C(F)(F)F)cc(NCc4cccc([N+](=O)[O-])c4)c3c2)CC1,473.45500000000027,4.442400000000004,1,6,5.0
CHEMBL1779202,inactive,CC1(C)c2cc(C3CCN(C4COC4)CC3)ccc2C(=O)c2c1[nH]c1cc(C#N)ccc21,425.53200000000015,4.488080000000004,1,4,4.301029995663981
CHEMBL1784725,inactive,CCOC(=O)C1=C2C(=NC1=O)c1cccc3cccc2c13,277.27900000000005,2.4994000000000005,0,3,5.0
CHEMBL1807446,inactive,Cc1ccc(C(=O)NC2CC2)cc1Nc1ncnn2cc(C(=O)c3ccccc3)c(C)c12,425.4920000000002,4.212940000000003,2,6,4.6020599913279625
CHEMBL1813632,inactive,O=C(Nc1ccc(Oc2ncnc3scc(-c4ccccc4)c23)c(F)c1)c1cccn(-c2ccc(F)cc2)c1=O,552.5620000000001,6.832000000000005,1,7,5.0
CHEMBL1823221,inactive,CCc1cc2c(cc1N1CCN(C3COC3)CC1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,454.5740000000002,3.9930800000000026,1,5,4.301029995663981
CHEMBL1828860,intermediate,Cc1ncc([N+](=O)[O-])n1CC(=O)NS(=O)(=O)c1ccccc1,324.31800000000004,0.6048199999999997,1,7,5.375717904164332
CHEMBL1828861,intermediate,Cc1ccc(S(=O)(=O)NC(=O)Cn2c([N+](=O)[O-])cnc2C)cc1,338.3450000000001,0.9132399999999996,1,7,5.3223930472795065
CHEMBL1828862,intermediate,Cc1ncc([N+](=O)[O-])n1CC(=O)NS(=O)(=O)c1ccc(F)cc1,342.30800000000005,0.7439199999999999,1,7,5.815308569182402
CHEMBL1828863,intermediate,Cc1ncc([N+](=O)[O-])n1CC(=O)NS(=O)(=O)c1ccc(Cl)cc1,358.76300000000003,1.2582199999999997,1,7,5.467245621007502
CHEMBL1828864,intermediate,Cc1ncc([N+](=O)[O-])n1CC(=O)NS(=O)(=O)c1ccc(Br)cc1,403.21400000000006,1.3673199999999996,1,7,5.444905551421681
CHEMBL1828865,intermediate,O=C(Cc1ccc(F)cc1)NS(=O)(=O)c1ccccc1,293.319,1.8733,1,3,5.075204004202088
CHEMBL1828866,inactive,Cc1ccc(S(=O)(=O)NC(=O)Cc2ccc(F)cc2)cc1,307.346,2.1817200000000003,1,3,4.9775716288145135
CHEMBL1828867,intermediate,O=C(Cc1ccc(F)cc1)NS(=O)(=O)c1ccc(F)cc1,311.309,2.0124,1,3,5.153662887870195
CHEMBL1828868,intermediate,O=C(Cc1ccc(F)cc1)NS(=O)(=O)c1ccc(Cl)cc1,327.764,2.526700000000001,1,3,5.121478204498794
CHEMBL1828869,intermediate,O=C(Cc1ccc(F)cc1)NS(=O)(=O)c1ccc(Br)cc1,372.21500000000003,2.6358000000000006,1,3,5.087246696328677
CHEMBL1828870,inactive,O=C(Cc1ccc(Cl)cc1)NS(=O)(=O)c1ccccc1,309.774,2.387600000000001,1,3,4.883724412419456
CHEMBL1828871,inactive,Cc1ccc(S(=O)(=O)NC(=O)Cc2ccc(Cl)cc2)cc1,323.80100000000004,2.6960200000000007,1,3,4.80771138743188
CHEMBL1828872,inactive,O=C(Cc1ccc(Cl)cc1)NS(=O)(=O)c1ccc(F)cc1,327.764,2.526700000000001,1,3,4.95663772197887
CHEMBL1828873,inactive,O=C(Cc1ccc(Cl)cc1)NS(=O)(=O)c1ccc(Cl)cc1,344.21900000000005,3.0410000000000013,1,3,4.875495775165717
CHEMBL1828874,inactive,O=C(Cc1ccc(Cl)cc1)NS(=O)(=O)c1ccc(Br)cc1,388.67,3.150100000000001,1,3,4.867740310468956
CHEMBL1828875,inactive,O=C(Cc1ccc(Br)cc1)NS(=O)(=O)c1ccccc1,354.2250000000001,2.4967000000000006,1,3,4.720105019988361
CHEMBL1828876,inactive,Cc1ccc(S(=O)(=O)NC(=O)Cc2ccc(Br)cc2)cc1,368.252,2.8051200000000014,1,3,4.691862621361961
CHEMBL1828877,inactive,O=C(Cc1ccc(Br)cc1)NS(=O)(=O)c1ccc(F)cc1,372.2150000000001,2.6358000000000006,1,3,4.788879458741951
CHEMBL1828878,inactive,O=C(Cc1ccc(Br)cc1)NS(=O)(=O)c1ccc(Cl)cc1,388.6700000000001,3.150100000000001,1,3,4.722620025332746
CHEMBL1828879,inactive,O=C(Cc1ccc(Br)cc1)NS(=O)(=O)c1ccc(Br)cc1,433.1210000000001,3.2592000000000017,1,3,4.702677285794698
CHEMBL1828880,inactive,COc1ccc(CC(=O)NS(=O)(=O)c2ccccc2)cc1,305.355,1.7428000000000001,1,4,4.536554968229572
CHEMBL1828881,inactive,COc1ccc(CC(=O)NS(=O)(=O)c2ccc(C)cc2)cc1,319.382,2.0512200000000003,1,4,4.301029995663981
